"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235","Navigation to the Website and validate element is visible","Default Suite","Fri Sep 06 14:02:56 IST 2024","passed","Fri Sep 06 14:02:56 IST 2024","org.spyneai.auto.spyneai_assignment.MainPageTest","SpyneAI_Assignment","org.spyneai.auto.spyneai_assignment.MainPageTest","navigateToWebsite"
"","87896","File Upload:","Default Suite","Fri Sep 06 14:02:56 IST 2024","passed","Fri Sep 06 14:04:24 IST 2024","org.spyneai.auto.spyneai_assignment.MainPageTest","SpyneAI_Assignment","org.spyneai.auto.spyneai_assignment.MainPageTest","uploadFile"
